chunk_id,text
0,[not hate] we need everyone to keep winning . is right about that.we need milo to keep challenging at the campuses .
1,[not hate] : the hatred spewed by robert spencer led to murder #israel #myjihad #uk #us #islamophobia #islam #muslim ...
2,[not hate] are antifa boomers ?
3,[not hate] #trucons aren't capable of anything but grandstanding . even after healthcare  we will see this on other issues
4,[not hate] wow  you really caught that . so happy to see people verify their claims .
5,[hate] . help biafrans get freedom and independence . please save biafrans from murderous nigeria terrorists
6,[hate] you should dead  racist  motherfuckersthis is ku klux klan
7,[hate] we're all vertebrates too . except for cucks .
8,[not hate] white people are not alowed to have opinions if we do we are so bad
9,[not hate] how the dynasty turned large chunks of lutyens ' delhi into private property
10,"[not hate]  so your source is the known for their white nationalists views and support of race realism  "" pseudo science ? "" "" """
11,[hate] and how were the alt white peaceful when they attacked white leftist american citizens ?
12,"[not hate]  national review : white working class towns  "" deserve to die "" "" via """
13,[not hate] since 1973  the racial breakdown of total abortions has been 50.2 % non-hispanic white  49.8 % non-white
14,[hate] Girls I have dated can never estimate measurements. Just make sure you never date a female carpenter.
15,"[hate] good ! hopefully if america makes them feel unsafe , the dirty filthy muslims can go back to their sand lands !"
16,[hate] ... many arrests of muslim youth in bharat regarding sexual violence against animals ... its happening
17,[hate] ding ding ding . we have a winner  hunter here  and a cuck of the day award to brandon .
18,[hate] muhammad was false prophet.should jews kill because christians believe in messiah.christians kill cause some won't ?
19,[hate] What do you call it when a black person hides from a cop at night? Good use of camouflage.
20,[not hate] stop white genocide
21,"[hate] i hope they get the book thrown at them! and after they serve hopefully long sentences, hope they get deported back where they came from!"
22,[not hate] burning down your own city and stealing from your community is not justice it's illegal looting !
23,[hate] idiotic masked #antifa cowards want communism in america . look how moronic these #libtard #fascists are .
24,[not hate] get #prolife twibbon here : provided by :-) spread the word
25,[hate] it took a gay conservative for the media to finally expose the pedophilia problem in the gay community
26,[not hate] we've been left with no choice but to adopt identity politics . no one is going to look out for our interests .
27,[not hate] it was on his live radio broadcast this morning ranted on about alt right  milo  mike - we are dangerous ! lol
28,[hate] we need a unite the south rally . an alt-south meeting of the masses .
29,[hate] nathan - why is a jewish person taking your place ? i thought it was about saving the white european race and culture ?
30,[not hate] i don't hate white ppl  or southerners . i hate that some people think a history of discrimination is wh
31,[not hate] the war on #freedom isn't waged by islam  but by the us government against its people . #liberty
32,[not hate] black people also have different skin tones and ethnicities . so do jews .
33,[not hate] #religion of #peace ? : why #christianity is and #islam isn't by robert spencer via
34,[not hate] did you miss the socon review  curated by ? best round-up of news impacting the pro-family movement :
35,[not hate] rape of europe  5sept2015 #altright
36,[hate] if white race is not in danger why talk of mattis ? truth is that america foolishly promoted china and now china's proxy is ready 2attack u
37,[not hate] obama is a racist race baiter
38,[hate] a perfect demonstration of fear-based mind control programming #withjewswelose #nomorejewishlies
39,[not hate] make a gift in honor of and annoy a liberal !
