id;text;label;;
1;Bitches are dumb yes but he was busted on grindr or some other gay app you queer.;hate;;
2;Satanic trannies are skipping rehearsal?;hate;;
3;go back to Africa nigger;hate;;
4;The Jewish people are very good people. So are the White people. Everyone should just simmer down and take a chill pill;not hate;;
5;Oh BTW this was the first year where phones became more popular than PCs;not hate;;
6;IPAs are disgusting and like 7 dollars a pop. I hate going to bars now.;not hate;;
7;Of course they don't Captain Obvious: I wanna know why they don't.;not hate;;
8;Yeah, fried dopamine receptors means it makes you physically incapable of feeling good.;not hate;;
9;The military have more strict OFOF than cops.;not hate;;
10;I like it, my day to day watch is this;not hate;;
11;Do you not know what a delegate is? its an unpaid representative the party chooses based on networking This is like when Octavian was sent to the Ilyricum campaign;not hate;;
12;Nigger problems require nigger solutions. Let the niggers deal with each other as they deem necessary.;hate;;
13;integral watches are so hideous;not hate;;
14;You will be drafted to defend zog;hate;;
15;Do you have a white family and you do picnics?;not hate;;
16;Lots of blacks use fentanyl as well. Meth is mostly a white thing though.;not hate;;
17;Lmao;not hate;;
18;Incitement to violence is a crime.;not hate;;
19;thanks fren. i can work with that;not hate;;
20;Make sure they know it was Cohen slave boats;hate;;
21;noone cares about us blue collar workers Politics is just a theater performance to keep jews in power.;hate;;
22;Poor girl, now her husband-brother has no choice but to honor kill her;hate;;
23;According to Wikipedia, there's 770 Jews in Norway vs 182600 Muslims.;not hate;;
24;As long as their definition of porn excludes 2d I might be on board.;not hate;;
25;the irony and kind of funny thing is, they won't even leave. make of that what you want. glhf;not hate;;
26;The genocide was arguably the best thing to happen to Rwanda. Paul Kagame did nothing wrong.;hate;;
27;Police officer getting shot to death is extremely rare in France;not hate;;
28;Why was so much money given to Ukraine? There are roads, infrastructure, bridges and a border that needs protecting in the US.;not hate;;
29;Jews can't force anyone to do anything. Blame retarded whites for allowing a fraction of the population to dictate the nation's direction.;not hate;;
30;I don't plan on having children. I have 2 nieces and 4 nephews and I don't even like being around them on holidays.;not hate;;
31;i know this is a groid but if someone did that to anyone in my family or a friend they would have a real real hard time coming to them;hate;;
32;Kike woman singer got booed?;hate;;
33;Why do you keep coming back? Isn't it obvious we don't want you here by now?;not hate;;
34;Based nords commit tkd;hate;;
35;Say this next time, shorter;not hate;;
36;If I get digits a g5 solar flare happens tomorrow and causes TND;hate;;
37;Remember this they are all human. There is no god given right for them to rule us. Anons have as much of a qualification to rule as a million zog politicians.;hate;;
38;Give all of the ukraine to Russia.;not hate;;
39;liberal spoiled faggots create bad times. this is the fate of all western and southern europe.;hate;;
40;How am I supposed to go drinking if its illegal to drink and drive? You cant drink anywhere you cant walk to unless someone else does the driving.;not hate;;
41;TKD GTKRWN;hate;;
42;WPWW;hate;;
43;The ideology seems inherently suicidal;not hate;;
44;Since when is a SSGT an officer?;not hate;;
45;Context?;not hate;;
46;Do you buy this or watch it online?;not hate;;
47;birds aren't real;not hate;;
48;USA's presidential primaries are like flushing a toilet and watching which turd goes down first.;not hate;;
49;That level of gingivitis is staggering.;not hate;;
50;wtf fuck these mudslimic terrorists for killing these white men;hate;;
