chunk_id,text
0,"[not hate] Another songwriter encouraged many more people to come : `` If you 're going to San Francisco , be sure to wear a flower in your hair . ''"
1,[not hate] The German men sound so sexy .
2,[not hate] Like a septic tank.
3,[not hate] UK Pensioner Faces 350 Lashes In Saudi Arabia why does this country exist it does nothing for migrants picks on old men no help from anyone
4,[hate] fuk that I burned a qu'ran and pissed on it...
5,[not hate] You left me in the dark for some bitch that had a kid while you were in the pin but yet you still chose that dry cunt over your son how sad.
6,[hate] An Illegal Alien took his own life because he decide he would break into the U.S Steal IDs and SSN to Work Illegally Robbing the U.S instead of sending for his family he killed himself Really didnt care about his Family huh ? #SendthemBack #Immigration
7,[hate] @MailOnline Bloody Germany who needs Germany we dont want their Visa plans were are fed up of being over ran by migrants no Uk Jobs threaten
8,"[hate] Immigrants are not welcome here, and should not mix with us."
9,"[hate] Gays are inherently evil, we cannot accept gays in our community."
10,[hate] go cry bitch we still fuck white people and kill them tell they gone like my shit when i shit in ur father face and ur mother face and ur siste rface mother fuck our penis is cool to fuk
11,[not hate] Hey Guys. It’s ok for her to say no. Stop calling women Bitches for declining your advances. Doesn’t matter the tim… https://t.co/Uy0KetAQBm
12,[not hate] @MailOnline Another incident in Germany will it be a drunk driver or another angry immigrant with issues innocent to proven Guilty there is so much goodwill before it becomes salt in the wounds of a giving Nation
13,"[hate] Watch: Germans protest against Islam and immigration ""We want Germany to be Germany, not an Islamic state"" - Free Speech Time - https://t.co/03NYsiUVuv @ISupport_Israel"
14,[not hate] Good memories .
15,"[hate]  blacks get arrested for possession and use of crack cocaine iun sioux falls, sd. i did a study on this when i was in high school"
16,"[hate] Black people are the reason why our country is in the mess it is in, because they are inferior."
17,"[hate] I'm sorry but women are basically childlike, it's no wonder then that they remain this way most of their lives, because they are programmed this way."
18,"[hate] @MSNBC Trump you are right, stop illigal immigration and make USA better and dont care about left minded democrats without any reality and small brain."
19,[not hate] The Trump supporter has made a name for himself with anti-immigrant views and allegations of voter fraud. Will Republicans make him their pick for governor? https://t.co/GT0t3faZPb
20,[hate] gut the nigger.
21,"[hate] The West has let Islam take over our countries. This is why we are accepting them, we are already corrupted."
22,"[hate] Migrants are not welcome in our country, they are not welcome here."
